
PKUP   1        0            0            0            0            0            0      0      0            0            0

SILI   1      182            0     0.999754            0         1800       300000      0      0            0            0
SILI   2      182            0      1.00144            0         1800       300000      0      0            0            0
SILI   3      182            0      1.00144            0         1800       300000      0      0            0            0
SILI   4      182            0      1.00066            0         1800       300000      0      0            0            0

C6D6   1   183.95    0.0521532  0.000386435 -4.08486e-10         0.03           20      0      0            0            0
C6D6   2   183.95    0.0224163  0.000407166  3.45977e-10         0.03           20      0      0            0            0
C6D6   3   183.95    0.0460589  0.000381325 -6.12274e-10         0.03           20      0      0            0            0
C6D6   4   183.95    0.0792231  0.000348986  2.48372e-09         0.03           20      0      0            0            0

FIMG   1      187            0     0.986942            0          0.1       300000      0      0            0            0
FIMG   2      187            0     0.988636            0          0.1       300000      0      0            0            0

LIGL   1      200            0      0.99453            0          0.1       300000      0      0            0            0

